Designator,Mid X,Mid Y,Rotation,Layer
1N4XXX,157.67,-101.335,270.0,bottom
C1,160.635,-81.42,270.0,top
D1,142.26,-77.84,90.0,bottom
D2,142.21,-94.76875,90.0,bottom
D3,142.285,-111.948125,90.0,bottom
J1,133.9,-82.0,0.0,top
J2,133.875,-73.5,0.0,top
J3,133.87,-90.51,0.0,top
J4,133.87,-99.0,0.0,top
J5,133.885302,-107.495,0.0,top
J6,133.885302,-115.97,0.0,top
R1,142.21,-84.225,90.0,top
R10,149.11,-77.615,90.0,top
R11,151.43,-101.335,90.0,bottom
R12,154.5,-101.335,90.0,bottom
R13,142.285,-106.62625,90.0,top
R2,142.285,-101.404375,90.0,top
R3,142.285,-116.82,90.0,top
R4,148.36,-101.335,90.0,bottom
R5,142.21,-89.446875,90.0,top
R6,142.26,-72.49,90.0,top
R7,145.835,-72.49,90.0,top
R8,146.035,-77.64,90.0,top
R9,149.11,-72.49,90.0,top
RESET,155.585,-73.945,0.0,bottom
U1,153.03,-99.67,0.0,top
U2,153.025,-89.76,90.0,bottom
